phylum,class,order,family,genus
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Compostibacter
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerocolumna
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Kistimonas
Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinocorallia
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Nemorincola
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Rurimicrobium
Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Ravibacter
Bacillota,Bacilli,Bacillales,Bacillaceae,Amphibacillus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Gibbsiella
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Celeribacter
Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsidaceae,Salinactinospora
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Snuella
Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Zobellella
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leifsonia
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Zhihengliuella
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Postechiella
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Allohahella
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Litoribacillus
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Corallibacter
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Microlunatus
Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Actimicrobium
Actinomycetota,Actinomycetes,Cryptosporangiales,Cryptosporangiaceae,Cryptosporangium
Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Pilimelia
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agrococcus
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Pseudolysinimonas
Actinomycetota,Actinomycetes,Catenulisporales,Catenulisporaceae,Catenulispora
Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Nostocoides
Actinomycetota,Actinomycetes,Micrococcales,Promicromonosporaceae,Isoptericola
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leucobacter
Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Williamsia
Actinomycetota,Actinomycetes,Mycobacteriales,NA,Fodinicola
Actinomycetota,Actinomycetes,Micrococcales,Dermacoccaceae,Dermacoccus
Actinomycetota,Actinomycetes,Micrococcales,Promicromonosporaceae,Myceligenerans
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Yaniella
Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Luedemannella
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Rhodoglobus
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Luteococcus
Actinomycetota,Actinomycetes,Sporichthyales,Sporichthyaceae,Sporichthya
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Craurococcus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Tatumella
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Psychrosphaera
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Alteraurantiacibacter
Bacteroidota,Cytophagia,Cytophagales,Fulvivirgaceae,Fulvivirga
