ncbi_species,species
Confluentibacter citreus,Confluentibacter citreus
Corynebacterium ammoniagenes,Corynebacterium ammoniagenes
Fusobacterium necrophorum,Fusobacterium_C necrophorum
Ligilactobacillus agilis,Ligilactobacillus agilis
Glaesserella parasuis,Glaesserella parasuis
Arthrobacter terrae,Arthrobacter_M terrae
Mediterraneibacter stercoripullorum,Mediterraneibacter stercoripullorum
Scalindua sediminis,Scalindua_A sediminis
Nonlabens antarcticus,Nonlabens antarcticus
Legionella geestiana,Legionella_B geestiana
Serratia sarumanii,Serratia sarumanii
Clostridium felsineum,Clostridium_S felsineum
Clostridium acetobutylicum,Clostridium_S acetobutylicum
Aerococcus loyolae,Aerococcus loyolae
Octadecabacter dasysiphoniae,Octadecabacter dasysiphoniae
Virgibacillus halodenitrificans,Virgibacillus halodenitrificans
Bifidobacterium avesanii,Bifidobacterium avesanii
Perlucidibaca aquatica,Perlucidibaca aquatica
Caldatribacterium californiense,Caldatribacterium californiense
Thermotoga petrophila,Thermotoga petrophila
uncultured Metamycoplasma,UBA710 sp002298905
Symbiodolus clandestinus,Symbiodolus clandestinus
Capnocytophaga sputigena,Capnocytophaga sputigena
Flavobacterium oreochromis,Flavobacterium oreochromis
Cupriavidus metallidurans,Cupriavidus metallidurans
Cronobacter malonaticus,Cronobacter malonaticus
Luteimonas yindakuii,Luteimonas yindakuii
Citrobacter meridianamericanus,Citrobacter meridianamericanus
Lysinibacillus capsici,Lysinibacillus capsici
Amycolatopsis tucumanensis,Amycolatopsis tucumanensis
Vibrio coralliirubri,Vibrio coralliirubri
Schmidhempelia bombi,Schmidhempelia bombi
Xenorhabdus kozodoii,Xenorhabdus kozodoii
Fulvivirga sediminis,Fulvivirga sediminis
Ileibacterium valens,Ileibacterium valens
Deinococcus geothermalis,Deinococcus geothermalis
Chitinophaga pendula,Chitinophaga pendula
Clostridium tetani,Clostridium_G tetani
Shewanella electrica,Shewanella electrica
Nocardiopsis potens,Nocardiopsis_A potens
Pantoea stewartii,Pantoea stewartii
Kallotenue papyrolyticum,Kallotenue papyrolyticum
Bacillus suaedae,Halalkalibacter suaedae
Scybalocola faecigallinarum,Catenibacillus faecigallinarum
Paenibacillus pseudetheri,Paenibacillus pseudetheri
Streptomyces mutabilis,Streptomyces mutabilis
Flaviflexus equikiangi,Flaviflexus equikiangi
Devosia beringensis,Devosia beringensis
Hymenobacter ginkgonis,Hymenobacter ginkgonis
Cellulomonas aerilata,Pengzhenrongella aerilata
Burkholderia orbicola,Burkholderia orbicola
Desulfonauticus submarinus,Desulfonauticus submarinus
Bartonella birtlesii,Bartonella birtlesii
Sedimentitalea xiamensis,Sedimentitalea xiamensis
Histophilus somni,Histophilus somni
Zobellia galactanivorans,Zobellia galactanivorans
Staphylococcus lugdunensis,Staphylococcus lugdunensis
Mycobacterium crassicus,Mycobacterium crassicus
Pseudochryseolinea flava,Ohtaekwangia flava
Methyloceanibacter marginalis,Methyloceanibacter marginalis
Limnohabitans planktonicus,Limnohabitans_A planktonicus
Anaerotruncus massiliensis,Anaerotruncus massiliensis
Spirosoma rigui,Spirosoma rigui
Erwinia aphidicola,Erwinia aphidicola
Streptobacillus moniliformis,Streptobacillus moniliformis
Phyllobacterium trifolii,Phyllobacterium trifolii
Pseudaminobacter arsenicus,Pseudaminobacter arsenicus
Brenneria goodwinii,Brenneria goodwinii
Nocardia aurea,Nocardia aurea
Helicobacter aurati,Helicobacter_A aurati
Microbulbifer thermotolerans,Microbulbifer thermotolerans
Aerococcus urinaeequi,Aerococcus urinaeequi
Segatella violae,Prevotella violae
Acinetobacter venetianus,Acinetobacter venetianus
Pseudomonas peli,Pseudomonas_E peli
uncultured Luteolibacter,Luteolibacter sp963925255
Helicobacter japonicus,Helicobacter_C japonicus
Nocardioides pantholopis,Nocardioides pantholopis
Flavobacterium cupriresistens,Flavobacterium cupriresistens
Vitreoscilla massiliensis,Vitreoscilla massiliensis
Telmatospirillum siberiense,Telmatospirillum siberiense
Mycobacterium botniense,Mycobacterium botniense
Stoquefichus massiliensis,Stoquefichus massiliensis
Propionibacterium freudenreichii,Propionibacterium freudenreichii
Streptomyces calidiresistens,Streptomyces calidiresistens
Leuconostoc litchii,Leuconostoc litchii
Rhodothalassium salexigens,Rhodothalassium salexigens
Demequina maris,Demequina maris
Prochlorothrix hollandica,Prochlorothrix hollandica
Tisiphia sp.,Tisiphia sp002259525
Vibrio neptunius,Vibrio neptunius
Microbacterium endophyticum,Microbacterium endophyticum
Bacillus massilionigeriensis,Bacillus_BE massilionigeriensis
Aeromonas rivipollensis,Aeromonas rivipollensis
Convivina praedatoris,Convivina praedatoris
Flavobacterium saliperosum,Flavobacterium saliperosum
Acidipropionibacterium thoenii,Acidipropionibacterium thoenii
