ncbi_species,species
Corallococcus praedator,Corallococcus praedator
Scatomorpha merdigallinarum,Scatomorpha merdigallinarum
bacterium UBA5125,CSP1-8 sp003513855
Streptomyces fimbriatus,Streptomyces fimbriatus
Kribbella qitaiheensis,Kribbella qitaiheensis
Oceanobacillus arenosus,Oceanobacillus arenosus
Treponema peruense,Treponema_D peruense
Segatella albensis,Prevotella albensis
Chryseobacterium elymi,Chryseobacterium elymi
Lutispora thermophila,Lutispora thermophila
Bacilliculturomica massiliensis,Bacilliculturomica massiliensis
Citrobacter murliniae,Citrobacter murliniae
Breznakia pachnodae,Breznakia pachnodae
Enterocloster alcoholdehydrogenati,Enterocloster alcoholdehydrogenati
Cacconaster caballi,Cacconaster caballi
Pseudonocardia cypriaca,Pseudonocardia cypriaca
Thiopontia autotrophica,Thiopontia autotrophica
Intrasporangium oryzae,Intrasporangium_C oryzae
Jiella endophytica,Jiella endophytica
Amygdalobacter nucleatus,Amygdalobacter nucleatus
Pontibacillus litoralis,Pontibacillus litoralis
Dyadobacter tibetensis,Dyadobacter tibetensis
Enterocloster excrementigallinarum,Enterocloster excrementigallinarum
Avedoeria danica,Avedoeria danica
Geothrix fermentans,Geothrix fermentans
Glaciihabitans tibetensis,Glaciihabitans tibetensis
Xylanimicrobium pachnodae,Xylanimonas pachnodae
Streptomyces echinoruber,Streptomyces echinoruber
Minthosoma equi,Minthosoma equi
Solidesulfovibrio carbinolicus,Solidesulfovibrio carbinolicus
Bombella dulcis,Bombella dulcis
Jeotgalibacillus terrae,Jeotgalibacillus terrae
Sulfurimonas ponti,Sulfurimonas ponti
Accumulibacter affinis,Accumulibacter affinis
Lentzea guizhouensis,Lentzea guizhouensis
Cyanomargarita calcarea,Cyanomargarita calcarea
Microvirga makkahensis,Microvirga makkahensis
Lentimicrobium saccharophilum,Lentimicrobium saccharophilum
Bacillus marinisedimentorum,Bacillus_BL marinisedimentorum
uncultured Kiloniella,Kiloniella sp937128705
Glycocaulis profundi,Glycocaulis profundi
Thermotoga profunda,Pseudothermotoga_B profunda
Pseudonocardia endophytica,Pseudonocardia endophytica
Nitratidesulfovibrio termitidis,Cupidesulfovibrio termitidis
Stanieria cyanosphaera,Stanieria cyanosphaera
Clostridium porci,Enterocloster porci
Imhoffiella purpurea,Imhoffiella purpurea
Dissulfuribacter thermophilus,Dissulfuribacter thermophilus
Streptococcus panodentis,Streptococcus panodentis
Allorhizobium undicola,Allorhizobium undicola
Pandoraea eparura,Pandoraea eparura
Erythrobacter neustonensis,Erythrobacter neustonensis
Arenibacter antarcticus,Arenibacter antarcticus
Halobacillus dabanensis,Halobacillus dabanensis
Kushneria sinocarnis,Kushneria sinocarnis
Soonwooa buanensis,Soonwooa buanensis
Erwinia oleae,Erwinia oleae
Salinibacillus aidingensis,Salinibacillus aidingensis
Pseudomonas chaetocerotis,Pseudomonas_E chaetocerotis
Bradyrhizobium shewense,Bradyrhizobium shewense
Solimonas fluminis,Solimonas_A fluminis
Vibrio ulleungensis,Vibrio ulleungensis
Novosphingobium humi,Novosphingobium humi
Flavobacterium suaedae,Flavobacterium suaedae
Oceanobacillus luteolus,Oceanobacillus luteolus
Thiosulfatimonas sediminis,Thiomicrorhabdus sediminis_A
Clostridium tepidiprofundi,Clostridium_AC tepidiprofundi
Gluconacetobacter sacchari,Gluconacetobacter sacchari
Anaerolinea thermolimosa,Anaerolinea thermolimosa
Ruoffia halotolerans,Ruoffia halotolerans
Crocinitomix algicola,Crocinitomix algicola
Acetivibrio cellulolyticus,Acetivibrio cellulolyticus
uncultured Rossellomorea,Rossellomorea sp947488365
Microbacterium luteum,Microbacterium luteum
Jiangella aurantiaca,Jiangella aurantiaca
Thioalkalivibrio halophilus,Thioalkalivibrio halophilus
Cronbergia sp.,UHCC-0137 sp034932285
Accumulibacter proximus,Accumulibacter proximus
Arsenicicoccus dermatophilus,Arsenicicoccus dermatophilus
Mycoplasma ovis,Eperythrozoon_A ovis
Streptomyces kebangsaanensis,Streptomyces kebangsaanensis
Onthocola stercoravium,Onthocola_B stercoravium
Flavobacterium tibetense,Flavobacterium tibetense
Sandarakinorhabdus cyanobacteriorum,Sandarakinorhabdus cyanobacteriorum
Mariniblastus fucicola,Mariniblastus fucicola
Aurantiacibacter rhizosphaerae,Aurantiacibacter rhizosphaerae
Pseudorhodobacter turbinis,Pseudorhodobacter turbinis
Anoxynatronum buryatiense,Anoxynatronum buryatiense
Blautia gallistercoris,Blautia_A gallistercoris
Adlercreutzia agrestimuris,Xiamenia agrestimuris
Acinetobacter defluvii,Acinetobacter defluvii
Marisimplicoccus framensis,Marisimplicoccus framensis
Mycoplasmopsis maculosa,Mycoplasmopsis maculosa
Blautia intestinigallinarum,Blautia_A intestinigallinarum
Sulfurimonas lithotrophica,Sulfurimonas lithotrophica
Paramagnetospirillum magnetotacticum,Paramagnetospirillum magnetotacticum
Paenibacillus helianthi,Paenibacillus helianthi
Spiroplasma tabanidicola,Spiroplasma_A tabanidicola
Pseudomonas phenolilytica,Stutzerimonas phenolilytica
Lysobacter psychrotolerans,Montanilutibacter psychrotolerans
Salinimonas marina,Alteromonas sp015644725
Allobaculum mucilyticum,Allobaculum mucilyticum
Roseovarius spongiae,Roseovarius spongiae
Dolichospermum compactum,Dolichospermum compactum
Brytella acorum,Brytella acorum
Streptomyces thinghirensis,Streptomyces thinghirensis
Corynebacterium lubricantis,Corynebacterium lubricantis
Croceicoccus naphthovorans,Croceicoccus naphthovorans
Rhodobacter ruber,Gemmobacter_B ruber
Tolypothrix brevis,Hassallia brevis
Ramlibacter algicola,Ramlibacter algicola
Desulfovibrio diazotrophicus,Desulfovibrio legallii
Liquorilactobacillus sicerae,Liquorilactobacillus sicerae
Herbiconiux daphne,Herbiconiux daphnes
Clavibacter lycopersici,Clavibacter lycopersici
Nocardioides yefusunii,Nocardioides yefusunii
Pontibrevibacter nitratireducens,Pontivivens nitratireducens
Sphingobacterium nematocida,Sphingobacterium nematocida
Galacturonibacter soehngenii,Lachnotalea soehngenii
Natronincola ferrireducens,Anaerovirgula ferrireducens
Nocardia albiluteola,Nocardia albiluteola
Halomonas cerina,Halomonas cerina
Sarmatiella mevalonica,Sarmatiella mevalonica
Methylophaga muralis,Methylophaga muralis
Brenneria alni,Brenneria alni
bacterium UBP5_UBA1551,UBA1551 sp001871075
Actinomyces procaprae,Actinomyces procaprae
Alkalithermobacter paradoxus,Alkalithermobacter paradoxus
Cellulomonas pakistanensis,Cellulomonas pakistanensis
Shimia sagamensis,Shimia sagamensis
Aggregatimonas sangjinii,Pelagihabitans sangjinii
Rhodomicrobium lacus,Rhodomicrobium lacus
Monoglobaceae bacterium,Flexilinea sp963618265
Microbacterium neungamense,Microbacterium neungamense
Paenibacillus puerhi,Paenibacillus_G puerhi
Xenolissoclinum pacificiensis,Xenolissoclinum pacificum
Flagellimonas sediminis,Flagellimonas sediminis
Sphingomonas cremea,Sphingomicrobium cremea
Mycolicibacterium komossense,Mycobacterium komossense
Tomitella cavernea,Tomitella cavernae
Azohydromonas sp.,Calidifontimicrobium sp035325925
Mediterraneibacter colneyensis,Mediterraneibacter colneyensis
Novosphingobium ginsenosidimutans,Novosphingobium ginsenosidimutans
Hydrogenisulfobacillus filiaventi,Hydrogenisulfobacillus filiaventi
Vibrio viridaestus,Vibrio viridaestus
Microvirga ossetica,Microvirga ossetica
Flavobacterium ajazii,Flavobacterium ajazii
Sandaracinobacter neustonicus,Sandaracinobacteroides neustonicus
Changpingibacter yushuensis,Changpingibacter yushuensis
Aquincola agrisoli,Aquincola agrisoli
Catillopecten margaritatus,Thiodubiliella sp037956075
Pseudonocardia pini,Pseudonocardia pini
Scatosoma pullicola,Scatosoma pullicola
Xenohaliotis californiensis,Xenohaliotis californiensis
Qipengyuania gelatinilytica,Qipengyuania gelatinilytica
Paracoccus stylophorae,Paracoccus stylophorae
Mucilaginibacter yixingensis,Mucilaginibacter yixingensis
Bradyrhizobium daqingense,Bradyrhizobium daqingense
Clostridium aromativorans,Clostridium_B aromativorans
Polaribacter litorisediminis,Polaribacter litorisediminis
Cellulophaga fucicola,Cellulophaga fucicola
Lactiplantibacillus dongliensis,Lactiplantibacillus dongliensis
Alkalihalobacillus deserti,Halalkalibacter deserti
actinobacterium acAMD-5,AcAMD-5 sp002293025
Tenacibaculum bernardetii,Tenacibaculum bernardetii
Motilimonas cestriensis,Motilimonas cestriensis
Caloramator fervidus,Caloramator fervidus
Desnuesiella massiliensis,Desnuesiella massiliensis
Limimonas egerieequi,UBA1227 sp018064455
Vibrio taketomensis,Vibrio taketomensis
Sphingomonas albertensis,Sphingomonas albertensis
Salinimonas chungwhensis,Alteromonas chungwhensis
Colivivens equi,Colivivens equi
Zymogenus saltonus,Zymogenus saltonus
Roseobacter fucihabitans,Roseobacter fucihabitans
Paracoccus nototheniae,Paracoccus nototheniae
Denitromonas iodatirespirans,Nitrogeniibacter iodatirespirans
Xenophilus arseniciresistens,Xenophilus arseniciresistens
Caviibacter abscessus,Caviibacter abscessus
Lentzea albida,Lentzea albida
Sphingobacterium corticibacterium,Sphingobacterium corticibacterium
bacterium UBP10_UBA1149,UBA1149 sp002311335
Mediterraneibacter pullistercoris,Mediterraneibacter pullistercoris
Streptomyces carminius,Streptomyces carminius
Nocardioides pelophilus,Nocardioides pelophilus
bacterium HR09,Thermoanaerobaculum aquaticum
Natronospira proteinivora,Natronospira proteinivora
Aquiluna borgnonia,Aquiluna borgnonia
Deinococcus aerolatus,Deinococcus aerolatus
Robiginitomaculum antarcticum,Robiginitomaculum antarcticum
Scalindua japonica,Scalindua japonica
uncultured Rhodothermales,CAXBBB01 sp963973615
bacterium A37T11,A37T11 sp900109895
Aliiroseovarius sediminilitoris,Aliiroseovarius sediminilitoris
Streptomyces bluensis,Streptomyces bluensis
Nocardia inohanensis,Nocardia inohanensis
Lysobacter erysipheiresistens,Novilysobacter erysipheiresistens
Psychromarinibacter sediminicola,Psychromarinibacter sediminicola
Chlorobaculum limnaeum,Chlorobaculum limnaeum
Humimicrobiales bacterium,Fen731 sp038320085
Winogradskyella aurantiaca,Winogradskyella aurantiaca
Curvibacter delicatus,Hylemonella delicata
uncultured Dokdonella,Dokdonella sp934526015
Thalassococcus profundi,Puniceibacterium profundi
Pueribacillus theae,Pueribacillus theae
Sphingomonas jinjuensis,Sphingomonas jinjuensis
Epilithonimonas ginsengisoli,Epilithonimonas ginsengisoli
Catenulispora subtropica,Catenulispora subtropica
Devosia soli,Devosia soli
Endozoicomonas gorgoniicola,Endozoicomonas_A gorgoniicola
Bilophila faecipullorum,Bilophila faecipullorum
Chitinophaga costaii,Chitinophaga costaii
Pedobacter montanisoli,Pedobacter montanisoli
Pukyongiella litopenaei,Pukyongiella litopenaei
Nocardioides ginsengisoli,Nocardioides ginsengisoli
Chitinibacter bivalviorum,Chitinibacter bivalviorum
Algibacter pacificus,Algibacter pacificus
Isoptericola sediminis,Isoptericola sediminis
Bifidobacterium erythrocebi,Bifidobacterium erythrocebi
Streptomyces montanisoli,Streptomyces montanisoli
Halothiobacillus diazotrophicus,Halothiobacillus diazotrophicus
bacterium TMED46,CACEUX01 sp002167345
Leptospira kemamanensis,Leptospira_A kemamanensis
Avimonas caecicola,Avimonas caecicola
Solibaculum intestinale,JAGZMM01 sp946491705
Gillisia hiemivivida,Gillisia hiemivivida
Alteromonas arenosi,Alteromonas_E arenosi
Lentzea flava,Lentzea flava
Tepidibacillus fermentans,Tepidibacillus fermentans
Subteraquimicrobiales bacterium,DATBWY01 sp036514555
Chishuiella changwenlii,Chishuiella changwenlii
Ectomicrobium neotermitis,Ectomicrobium neotermitis
Gracilibacillus salinarum,Gracilibacillus salinarum
Pseudoclavibacter soli,Pseudoclavibacter_A soli
Sporosarcina jiandibaonis,Sporosarcina jiandibaonis
Pseudobacter hemicellulosilyticus,Pseudobacter hemicellulosilyticus
Bacillus chungangensis,Bacillus_CF chungangensis
Streptomyces dysideae,Streptomyces dysideae
Photobacterium lipolyticum,Photobacterium lipolyticum
Piscinibacter caeni,Piscinibacter caeni
Kinetoplastibacterium desouzaii,Kinetoplastibacterium desouzaii
Actinomyces acetigenes,Actinomyces acetigenes
Magnetofaba australis,Magnetofaba australis
Devosia aquimaris,Devosia aquimaris
Marinobacter koreensis,Marinobacter koreensis
Fodinibacter luteus,Fodinibacter luteus
uncultured Vogesella,Vogesella sp946479405
Vibrio fujianensis,Vibrio fujianensis
Microbacterium paulum,Microbacterium paulum
Acidibacter sp.,UBA964 sp903910215
Clostridium polysaccharolyticum,Clostridium_AI polysaccharolyticum
Moraxella macacae,Moraxella_A macacae
Paraburkholderia elongata,Paraburkholderia elongata
Qipengyuania xiamenensis,Qipengyuania xiamenensis
Actinomyces urinae,Gleimia urinae
Rahnella bonaserana,Rahnella bonaserana
Sphingomonas citri,Sphingomonas citri
Sinanaerobacter sp.,IOR16 sp035621135
Arenibacter hampyeongensis,Arenibacter hampyeongensis
Oscillatoria salina,IIICB1 sp010672865
Streptomyces antimicrobicus,Streptomyces antimicrobicus
Pelotomaculum isophthalicicum,Pelotomaculum_D isophthalicicum
Kineococcus vitellinus,Kineococcus vitellinus
uncultured Beijerinckiaceae,RH-AL1 sp937873345
Leptospira abararensis,Leptospira_A abararensis
Pyxidicoccus sp.,Myxococcus sp026626705
Psychrobacter jeotgali,Psychrobacter jeotgali
Amnibacterium soli,Amnibacterium soli
Defluviimonas salinarum,Albidovulum salinarum
Gynurincola endophyticus,Gynurincola endophyticus
Kaistia soli,Kaistia soli
Sphingomonas astaxanthinifaciens,Sphingomicrobium astaxanthinifaciens_A
Coprobacter tertius,Coprobacter tertius
Ruania sp.,Ruania sp035303065
Massilia norwichensis,Telluria norwichensis
Botrimarina hoheduenensis,Botrimarina hoheduenensis
Chloroploca sp.,Chloroploca sp004138165
Thermosediminibacter litoriperuensis,Thermosediminibacter litoriperuensis
Nocardia pneumoniae,Nocardia pneumoniae
Caloranaerobacter sp.,Caloranaerobacter sp001316435
Bradyrhizobium oligotrophicum,Bradyrhizobium oligotrophicum
Nitricoxidivorans perseverans,Nitricoxidivorans perseverans
Microbulbifer magnicolonia,Microbulbifer magnicolonia
Lapidilactobacillus concavus,Lapidilactobacillus concavus
Streptomyces carpinensis,Streptomyces carpinensis
Rhodococcus marinonascens,Rhodococcus_F marinonascens
Yoonia ponticola,Yoonia ponticola
Fusobacteria bacterium,Psychrilyobacter sp024628785
Enterococcus lemanii,Enterococcus_I lemanii
Wenzhouxiangella limi,Wenzhouxiangella limi
Sanguibacter suaedae,Sanguibacter suaedae
Svornostia abyssi,Svornostia abyssi
Roseobacter litoralis,Roseobacter litoralis
Pseudomonas farsensis,Pseudomonas_E farsensis
Segniliparus rotundus,Segniliparus rotundus
Bifidobacterium italicum,Bifidobacterium italicum
Mycoplasmopsis columbinasalis,Mycoplasmopsis columbinasalis
Hymenobacter cellulosivorans,Hymenobacter cellulosivorans
Devosia naphthalenivorans,Devosia naphthalenivorans
Lysinibacillus agricola,Lysinibacillus agricola
uncultured Croceicoccus,Croceicoccus sp947496385
Alteromonas oceanisediminis,Alteromonas_E oceanisediminis
Lysobacter arvi,Lysobacter_J arvi
Flexicrinis affinis,Flexicrinis affinis
Magnetominusculus sp.,Magnetominusculus sp022321325
Atelocyanobacterium sp.,Atelocyanobacterium thalassa
Microcosmobacter mediterraneus,Microcosmobacter mediterraneus
Tianweitania aestuarii,Tianweitania aestuarii
Paenibacillus guangzhouensis,Paenibacillus_K guangzhouensis
Streptomyces phytophilus,Streptomyces phytophilus
Thermomonospora echinospora,Thermomonospora echinospora
Actinocatenispora thailandica,Actinocatenispora thailandica
Desulfoprunum sp.,Desulfoprunum sp030696435
Deinococcus aquaedulcis,Deinococcus aquaedulcis
Pseudomonas marianensis,Stutzerimonas marianensis
Pseudomonas triticifolii,Pseudomonas_E triticifolii
Haloimpatiens massiliensis,Haloimpatiens massiliensis
Daejeonella rubra,Daejeonella rubra
Nocardioides rotundus,Nocardioides rotundus
Bifidobacterium choloepi,Bifidobacterium choloepi
Skermania sp.,ID1734 sp007489285
Anseongella sp.,Anseongella sp036570465
Actinomadura fulvescens,Spirillospora fulvescens
Cryobacterium cryoconiti,Cryobacterium cryoconiti
Puerhibacterium puerhi,Puerhibacterium puerhi
Paenibacillus dendrobii,Paenibacillus dendrobii
Hwanghaeella sp.,Hwanghaeella sp028282025
Nocardioides luti,Nocardioides luti
Shewanella subflava,Shewanella subflava
Keratinibaculum paraultunense,Keratinibaculum paraultunense
Salegentibacter sediminis,Salegentibacter sediminis
Cypionkella psychrotolerans,Cypionkella psychrotolerans
Parvicella tangerina,Parvicella tangerina
Bacillus fonticola,Bacillus_CG fonticola
Sphingomonas solaris,Sphingomonas_G solaris
Salicibibacter halophilus,Salicibibacter halophilus
uncultured Methylobacteriaceae,Enterovirga sp937872715
Blastococcus aggregatus,Blastococcus aggregatus
Streptomyces sulfonofaciens,Streptomyces sulfonofaciens
Alterileibacterium massiliense,Alterileibacterium massiliense
Mesorhizobium silamurunense,Mesorhizobium silamurunense
Massilibacillus massiliensis,Massilibacillus massiliensis
Byssovorax cruenta,Byssovorax cruenta
Algibacter pectinivorans,Algibacter_B pectinivorans
Microtetraspora fusca,Microtetraspora fusca
Pullichristensenella excrementigallinarum,Pullichristensenella excrementigallinarum
Aureivirga marina,Aureivirga marina
Cellulosimicrobium arenosum,Cellulosimicrobium arenosum
Thioclava indica,Thioclava indica
Helicobacter labetoulli,Helicobacter_C labetoulli
Variovorax dokdonensis,Variovorax dokdonensis
Qipengyuania psychrotolerans,Qipengyuania psychrotolerans
Peristeroidobacter agariperforans,Peristeroidobacter agariperforans
Parachitinimonas caeni,Parachitinimonas caeni
Vallitalea okinawensis,Vallitalea_A okinawensis
Acidaminobacter hydrogenoformans,Acidaminobacter hydrogenoformans
Komagataeibacter swingsii,Komagataeibacter swingsii
Lacisediminihabitans changchengi,Lacisediminihabitans changchengi
Hyphomicrobium aestuarii,JANXVY01 sp034408685
Velocimicrobium porci,Velocimicrobium porci
Waterburya agarophytonicola,Waterburya agarophytonicola
Thermosipho ferrireducens,Thermosipho_B ferrireducens
Oxobacter pfennigii,Oxobacter pfennigii
Jannaschia faecimaris,Jannaschia faecimaris
Brevibacillus invocatus,Brevibacillus invocatus
Coprenecus sp.,Coprenecus sp029010575
Cohnella luojiensis,Cohnella luojiensis
Mesorhizobium zhangyense,Pseudaminobacter zhangyensis
Flavobacterium maritimum,Flavobacterium maritimum
Mycetocola spongiae,Mycetocola spongiae
Saelkia tenebricola,Saelkia tenebricola
Oceanisphaera merdipullorum,Oceanimonas merdipullorum
Nesterenkonia salmonea,Nesterenkonia salmonea
Altererythrobacter lauratis,Alteraurantiacibacter_A lauratis
Lysobacter panacisoli,Lysobacter_J panacisoli
Mycoplasma collis,Mesomycoplasma_A collis
Microbacterium suwonense,Microbacterium suwonense
Halodesulfovibrio spirochaetisodalis,Halodesulfovibrio spirochaetisodalis
Acholeplasma equirhinis,Acholeplasma equirhinis
Comamonas phosphati,Comamonas phosphati
Parabacteroides chongii,Parabacteroides chongii
Kribbella karoonensis,Kribbella karoonensis
Igneacidithiobacillus chanchocoensis,Igneacidithiobacillus chanchocoensis
Tenuifilum thalassicum,Tenuifilum thalassicum
Mycolicibacterium stellerae,Mycobacterium stellerae
Tenacibaculum lutimaris,Tenacibaculum lutimaris
Marinobacterium arenosum,Marinobacterium_C arenosum
Antarcticibacterium flavum,Gillisia flava
Thiomicrorhabdus aquaedulcis,Thiomicrorhabdus aquaedulcis
Archangium lipolyticum,Archangium lipolyticum
Marinilabilia rubra,Marinilabilia rubra
Actinomadura bangladeshensis,Spirillospora bangladeshensis
Thiocapsa imhoffii,Thiocapsa imhoffii
Rhizobium setariae,Rhizobium_E setariae
"Amycolatopsis sp.,",Amycolatopsis sp034929455
uncultured Gaetbulibacter,Olleya sp002323495
Ilyomonas limi,Ilyomonas limi
Endomicrobiellum guadaloupense,Endomicrobiellum guadaloupense
Winogradskyella litoriviva,Winogradskyella litoriviva
Paraburkholderia dinghuensis,Paraburkholderia dinghuensis
Pseudomonas silvicola,Pseudomonas_E silvicola
Mesosutterella faecium,Mesosutterella faecium
Tritonibacter horizontis,Epibacterium horizontis
Brumimicrobium mesophilum,Brumimicrobium mesophilum
Pseudalkalibacillus decolorationis,Pseudalkalibacillus decolorationis
Lacicoccus alkaliphilus,Lacicoccus alkaliphilus
Belliella buryatensis,Belliella buryatensis
Novosphingobium aureum,Novosphingobium aureum
Aceula meridiana,Aceula meridiana
Flavobacterium undicola,Flavobacterium undicola
Texcoconibacillus texcoconensis,Texcoconibacillus texcoconensis
Merdousia sp.,Merdousia sp021641325
Pseudovibrio denitrificans,Pseudovibrio denitrificans
Massilia mucilaginosa,Telluria mucilaginosa
Parapedobacter koreensis,Parapedobacter koreensis
Legionella shakespearei,Legionella shakespearei
Chryseobacterium glaciei,Chryseobacterium glaciei
Kurthia sibirica,Kurthia sibirica
Roseateles albus,Paucibacter_A albus
Spirosoma arboris,Spirosoma arboris
Psychrobacter raelei,Psychrobacter raelei
Sinirhodobacter hankyongi,Paenirhodobacter hankyongi
Chitinophaga silvisoli,Chitinophaga silvisoli
Neorhizobium turbinariae,Neorhizobium turbinariae
Eisenbergiella merdigallinarum,Gallintestinimicrobium merdigallinarum
Ottowia testudinis,Ottowia testudinis
Phytoactinopolyspora limicola,Phytoactinopolyspora limicola
Tamlana crocina,Tamlana crocina
Desulfoferrobacter suflitae,Desulfoferrobacter suflitae
Hymenobacter algoricola,Hymenobacter algoricola
Mucilaginibacter kameinonensis,Mucilaginibacter kameinonensis
Streptococcus penaeicida,Streptococcus penaeicida
bacterium HR32,Tepidifontimicrobium sp002898935
Paracoccus kondratievae,Paracoccus kondratievae
Motilibacter deserti,Motilibacter_A deserti
Sphingomonas vulcanisoli,Sphingomonas_I vulcanisoli
Winogradskyella poriferorum,Winogradskyella poriferorum
Bacteroides neonati,Bacteroides neonati
Hansschlegelia quercus,Hansschlegelia quercus
Isoalcanivorax indicus,Isoalcanivorax indicus
Desertivirga arenae,Desertivirga arenae
Paenibacillus sedimenti,Paenibacillus_E sedimenti
uncultured Ramlibacter,Ramlibacter sp936925435
Halomonas koreensis,Halomonas koreensis
Marinobacter azerbaijanicus,Marinobacter azerbaijanicus
Clostridium aciditolerans,Clostridium_AM aciditolerans
bacterium RCC_150,Arthrobacter sp041360635
Streptomyces pulveraceus,Streptomyces pulveraceus
Paucidesulfovibrio gracilis,Paucidesulfovibrio gracilis
Alkalicella caledoniensis,Alkalicella caledoniensis
Staphylococcus ratti,Staphylococcus ratti
Marinobacterium alkalitolerans,Marinobacterium alkalitolerans
Flavobacterium acetivorans,Flavobacterium acetivorans
uncultured Zunongwangia,Marixanthomonas sp002631855
Clostridium bowmanii,Clostridium_AD bowmanii
Gilvimarinus gilvus,Gilvimarinus gilvus
Spyradocola merdavium,Spyradocola merdavium
Spiroplasma sabaudiense,Spiroplasma_B sabaudiense
Cohnella ginsengisoli,Cohnella ginsengisoli
Rubrobacter calidifluminis,Rubrobacter_E calidifluminis
Lacticaseibacillus hulanensis,Lacticaseibacillus hulanensis
Catenuloplanes nepalensis,Catenuloplanes nepalensis
uncultured Solirubrobacter,JACCYI01 sp937871635
Amorphus coralli,Amorphus coralli
Aquabacterium parvum,Aquabacterium parvum
Agromyces hippuratus,Agromyces hippuratus
Altererythrobacter segetis,Croceibacterium segetis
Olsenella phocaeensis,Olsenella_I phocaeensis
Lunatibacter salilacus,Lunatibacter salilacus
Pseudoprimorskyibacter insulae,Pseudoprimorskyibacter insulae
Mucilaginibacter boryungensis,Mucilaginibacter boryungensis
uncultured Solibacillus,Solibacillus isronensis_A
Chryseobacterium takakiae,Chryseobacterium takakiae
Mycobacterium terramassiliense,Mycobacterium terramassiliense
Capillibacterium sp.,Capillibacterium sp036562545
Paucihalobacter ruber,Paucihalobacter ruber
Mangrovivirga halotolerans,Mangrovivirga halotolerans
Vagococcus entomophilus,Vagococcus_E entomophilus
Paenibacillus arenosi,Paenibacillus_B arenosi
Ruficoccus amylovorans,Ruficoccus amylovorans
Pelovirga terrestris,Pelovirga terrestris
Pseudomonas tritici,Pseudomonas_E tritici
Methylorubrum suomiense,Methylobacterium suomiense
Nocardiopsis alkaliphila,Nocardiopsis alkaliphila
Vibrio marisflavi,Vibrio marisflavi
Paraburkholderia franconis,Paraburkholderia franconis
Jhaorihella thermophila,Jhaorihella thermophila
Streptomyces himalayensis,Streptomyces himalayensis
Portiera sp.,JAAOII01 sp015163845
Halochromatium glycolicum,Lamprobacter glycolicus
Parvimonas parva,Parvimonas parva
Celaenobacter antarcticus,Celaenobacter antarcticus
uncultured Rhodoluna,Rhodoluna sp937898095
Terricaulis silvestris,Vitreimonas silvestris
Paracoccus methylarcula,Paracoccus methylarcula
Zhongshania guokunii,Zhongshania guokunii
Streptomyces deccanensis,Streptomyces deccanensis
Parasphingorhabdus cellanae,Parasphingorhabdus cellanae
Pullulanibacillus sp.,KACC-23026 sp029094525
Dyella acidiphila,Dyella_B acidiphila
Ureibacillus xyleni,Ureibacillus xyleni
uncultured Aeromonadaceae,JAGOXX01 sp945957385
Planococcus versutus,Planococcus versutus
Thermodesulfovibrionaceae bacterium,Thermodesulfovibrio sp025057595
Marinobacter changyiensis,Marinobacter changyiensis
Streptomyces brevispora,Streptomyces brevispora
Kastovskya adunca,Kastovskya adunca
Calditrichaeota bacterium,AABM5-125-24 sp002127415
Marinactinospora thermotolerans,Marinactinospora thermotolerans
Corallococcus llansteffanensis,Corallococcus llansteffanensis
Novacetimonas cocois,Novacetimonas cocois
Lactiplantibacillus xiangfangensis,Lactiplantibacillus xiangfangensis
Microbacterium aoyamense,Microbacterium aoyamense
Terrilactibacillus tamarindi,Terrilactibacillus tamarindi
Faecivicinus avistercoris,Faecivicinus avistercoris
Thalassomonas actiniarum,Thalassomonas actiniarum
Cryobacterium ruanii,Cryobacterium ruanii
Neorickettsia risticii,Neorickettsia risticii
Pseudomonas linyingensis,Geopseudomonas linyingensis
Halanaerobacter jeridensis,Halanaerobacter jeridensis
Agrococcus citreus,Agrococcus citreus
Sulfuriferula thiophila,Sulfuriferula_A thiophila
Coralliovum pocilloporae,Coralliovum pocilloporae
Pandoraea norimbergensis,Pandoraea norimbergensis
Microbacterium colombiense,Microbacterium colombiense
Kitasatospora kazusensis,Kitasatospora kazusensis
Spirabiliibacterium pneumoniae,Spirabiliibacterium pneumoniae
Hathewaya limosa,Hathewaya limosa
Doolittlea endobia,Doolittlea endobia
bacterium ADurb.Bin270,JAAZCA01 sp012513515
Flavivirga rizhaonensis,Flavivirga rizhaonensis
Maledivibacter halophilus,Maledivibacter halophilus
Xylanimonas ulmi,Xylanimonas ulmi
Salinarimonas rosea,Salinarimonas rosea
Streptomyces racemochromogenes,Streptomyces racemochromogenes
Aliterella sp.,Aliterella sp030826005
Actinoplanes flavus,Actinoplanes flavus
Sphingobium lignivorans,Sphingobium lignivorans
Arthrobacter ipis,Arthrobacter ipis
Lacticaseibacillus mingshuiensis,Lacticaseibacillus mingshuiensis
Pannus brasiliensis,Pannus brasiliensis
Sphingobacterium pedocola,Sphingobacterium pedocola
Alishewanella longhuensis,Alishewanella longhuensis
Multivorans azotirespirans,Multivorans azotirespirans
Pedobacter kyungheensis,Pedobacter kyungheensis
Parasedimentitalea huanghaiensis,Parasedimentitalea huanghaiensis
Pseudoxanthomonas kalamensis,Pseudoxanthomonas_A kalamensis
Dorea intestinavium,Aequitasia intestinavium
Paenibacillus andongensis,Paenibacillus_E andongensis
Dietzia papillomatosis,Dietzia cinnamea
Neobittarella massiliensis,Neobittarella massiliensis
Draconibacterium aestuarii,Draconibacterium aestuarii
Streptomyces graminilatus,Streptomyces graminilatus
