order,class,phylum,gene,n,n_res,f_res
Thermodesulfovibrionales,Thermodesulfovibrionia,Nitrospirota,rrs,6,2,0.3333333333333333
Thermomicrobiales,Chloroflexia,Chloroflexota,rrs,2,1,0.5
Thermosediminibacterales,Thermosediminibacteria,Bacillota,rrs,3,1,0.3333333333333333
Thermostichales,Cyanobacteriia,Cyanobacteriota,rrs,1,1,1
Thermosynechococcales,Cyanobacteriia,Cyanobacteriota,rrs,6,3,0.5
Thermotogales,Thermotogae,Thermotogota,rrs,14,11,0.7857142857142857
Thermotomaculales,Holophagae,Acidobacteriota,rrs,1,0,0
Thiohalomonadales,Gammaproteobacteria,Pseudomonadota,rrs,2,0,0
Thiohalospirales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Thiomicrospirales,Gammaproteobacteria,Pseudomonadota,rrs,11,0,0
Thiotrichales,Gammaproteobacteria,Pseudomonadota,rrs,5,2,0.4
Tissierellales,Clostridia,Bacillota,rrs,61,34,0.5573770491803278
Tistrellales,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
Treponematales,Spirochaetia,Spirochaetota,rrs,19,4,0.21052631578947367
Tumebacillales,Bacilli,Bacillota,rrs,5,1,0.2
Turneriellales,Leptospiria,Spirochaetota,rrs,1,1,1
UBA10575,UBA4882,Bacillota,rrs,1,1,1
UBA1381,Clostridia,Bacillota,rrs,1,0,0
UBA6429,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
UBA8366,Alphaproteobacteria,Pseudomonadota,rrs,3,1,0.3333333333333333
UMGS1810,Clostridia,Bacillota,rrs,1,0,0
Veillonellales,Negativicutes,Bacillota,rrs,25,17,0.68
Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,rrs,16,3,0.1875
Vicinamibacterales,Vicinamibacteria,Acidobacteriota,rrs,1,1,1
Victivallales,Lentisphaeria,Verrucomicrobiota,rrs,1,0,0
Vulcanimicrobiales,Vulcanimicrobiia,Vulcanimicrobiota,rrs,1,0,0
WRBN01,Spirochaetia,Spirochaetota,rrs,3,2,0.6666666666666666
Woeseiales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs,324,71,0.2191358024691358
Zavarziniales,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
NA,NA,NA,rrs,1101,269,0.24432334241598547
