order,class,phylum,n,n_res,f_res
Cardiobacteriales,Gammaproteobacteria,Pseudomonadota,15,0,0
Catenulisporales,Actinomycetes,Actinomycetota,10,0,0
Caulobacterales,Alphaproteobacteria,Pseudomonadota,78,0,0
Cellvibrionales,Gammaproteobacteria,Pseudomonadota,115,0,0
Chitinivibrionales,Chitinivibrionia,Fibrobacterota,1,0,0
Chitinophagales,Chitinophagia,Bacteroidota,148,0,0
Chlamydiales,Chlamydiia,Chlamydiota,17,0,0
Chlorobiales,Chlorobiia,Chlorobiota,13,0,0
Christensenellales,Clostridia,Bacillota,9,1,0.1111111111111111
Chromatiales,Gammaproteobacteria,Pseudomonadota,132,0,0
Chroococcales,Cyanophyceae,Cyanobacteriota,23,0,0
Chroococcidiopsidales,Cyanophyceae,Cyanobacteriota,3,0,0
Chrysiogenales,Chrysiogenia,Chrysiogenota,3,0,0
Chthonomonadales,Chthonomonadia,Armatimonadota,1,0,0
Coleofasciculales,Cyanophyceae,Cyanobacteriota,6,0,0
Coprothermobacterales,Coprothermobacteria,Coprothermobacterota,1,0,0
Coriobacteriales,Coriobacteriia,Actinomycetota,51,48,0.9411764705882353
Cryptosporangiales,Actinomycetes,Actinomycetota,5,0,0
Cytophagales,Cytophagia,Bacteroidota,153,0,0
Deferribacterales,Deferribacteres,Deferribacterota,11,1,0.09090909090909091
Deferrisomatales,Deferrisomatia,Thermodesulfobacteriota,1,0,0
Deinococcales,Deinococci,Deinococcota,16,2,0.125
Desertifilales,Cyanophyceae,Cyanobacteriota,5,0,0
Desulfarculales,Desulfarculia,Thermodesulfobacteriota,3,0,0
Desulfatiglandales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfobaccales,Desulfobaccia,Thermodesulfobacteriota,1,0,0
Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,36,0,0
Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,24,1,0.041666666666666664
Desulfomonilales,Desulfomonilia,Thermodesulfobacteriota,1,0,0
Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,97,0,0
Desulfurellales,Desulfurellia,Campylobacterota,3,0,0
Desulfurobacteriales,Aquificia,Aquificota,8,0,0
Desulfuromonadales,Desulfuromonadia,Thermodesulfobacteriota,17,0,0
Dethiobacterales,Dethiobacteria,Bacillota,1,0,0
Dictyoglomales,Dictyoglomia,Dictyoglomota,2,0,0
Dissulfuribacterales,Dissulfuribacteria,Thermodesulfobacteriota,1,0,0
Eggerthellales,Coriobacteriia,Actinomycetota,44,8,0.18181818181818182
Egibacterales,Nitriliruptoria,Actinomycetota,1,0,0
Egicoccales,Nitriliruptoria,Actinomycetota,1,0,0
Elusimicrobiales,Elusimicrobia,Elusimicrobiota,1,0,0
Emcibacterales,Alphaproteobacteria,Pseudomonadota,5,0,0
Endomicrobiales,Endomicrobiia,Elusimicrobiota,1,0,0
Enterobacterales,Gammaproteobacteria,Pseudomonadota,503,2,0.003976143141153081
Eubacteriales,Clostridia,Bacillota,260,5,0.019230769230769232
Euzebyales,Nitriliruptoria,Actinomycetota,3,0,0
Ferrovales,Betaproteobacteria,Pseudomonadota,1,0,0
Fibrobacterales,Fibrobacteria,Fibrobacterota,3,0,0
Fidelibacterales,Fidelibacteria,Fidelibacterota,1,0,0
Flavobacteriales,Flavobacteriia,Bacteroidota,978,0,0
Frankiales,Actinomycetes,Actinomycetota,17,0,0
Fusobacteriales,Fusobacteriia,Fusobacteriota,49,0,0
Futianiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Gaiellales,Thermoleophilia,Actinomycetota,1,0,0
Gaopeijiales,Longimicrobiia,Gemmatimonadota,1,0,0
Geminicoccales,Alphaproteobacteria,Pseudomonadota,9,0,0
Gemmatales,Planctomycetia,Planctomycetota,12,12,1
Gemmatimonadales,Gemmatimonadia,Gemmatimonadota,3,0,0
Geobacterales,Desulfuromonadia,Thermodesulfobacteriota,39,0,0
Geodermatophilales,Actinomycetes,Actinomycetota,56,0,0
Glycomycetales,Actinomycetes,Actinomycetota,29,25,0.8620689655172413
Gomontiellales,Cyanophyceae,Cyanobacteriota,3,0,0
Halanaerobiales,Clostridia,Bacillota,23,0,0
Haliangiales,NA,Myxococcota,1,0,0
Holosporales,Alphaproteobacteria,Pseudomonadota,4,4,1
Hydrogenophilales,Hydrogenophilia,Pseudomonadota,7,0,0
Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1025,69,0.06731707317073171
Hyphomonadales,Alphaproteobacteria,Pseudomonadota,25,5,0.2
Ignavibacteriales,Ignavibacteria,Ignavibacteriota,5,0,0
Immundisolibacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Iodidimonadales,Alphaproteobacteria,Pseudomonadota,3,0,0
Isosphaerales,Planctomycetia,Planctomycetota,3,3,1
Jatrophihabitantales,Actinomycetes,Actinomycetota,4,0,0
Jiangellales,Actinomycetes,Actinomycetota,18,2,0.1111111111111111
Kangiellales,Gammaproteobacteria,Pseudomonadota,10,0,0
