order,class,phylum,gene,n,n_res,f_res
Minwuiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Monoglobales,Clostridia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Moorellales,Moorellia,Bacillota,rrs_MG1655_2ndrun,2,0,0
Motilibacterales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,4,0,0
Mycobacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1156,0,0
Mycoplasmatales,Bacilli,Bacillota,rrs_MG1655_2ndrun,236,1,0.00423728813559322
Myxococcales,Myxococcia,Myxococcota,rrs_MG1655_2ndrun,50,0,0
Nannocystales,Polyangia,Myxococcota,rrs_MG1655_2ndrun,8,0,0
Natranaerobiales,Natranaerobiia,Bacillota,rrs_MG1655_2ndrun,3,0,0
Natronospirales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Nautiliales,Campylobacteria,Campylobacterota,rrs_MG1655_2ndrun,4,0,0
Neosynechococcales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
Nevskiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,28,0,0
Nitriliruptorales,Nitriliruptoria,Actinomycetota,rrs_MG1655_2ndrun,3,0,0
Nitrococcales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,19,0,0
Nitrosococcales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,14,0,0
Nitrospinales,Nitrospinia,Nitrospinota,rrs_MG1655_2ndrun,2,0,0
Oceanibaculales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Oligoflexales,Oligoflexia,Bdellovibrionota_B,rrs_MG1655_2ndrun,2,0,0
Oligosphaerales,Lentisphaeria,Verrucomicrobiota,rrs_MG1655_2ndrun,1,0,0
Opitutales,Verrucomicrobiia,Verrucomicrobiota,rrs_MG1655_2ndrun,27,0,0
Oscillospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,92,0,0
PCC-6307,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,5,0,0
PCC-9006,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
Paenibacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,231,0,0
Parvibaculales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Peptococcales,Peptococcia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Peptostreptococcales,Clostridia,Bacillota,rrs_MG1655_2ndrun,79,0,0
Petrotogales,Thermotogae,Thermotogota,rrs_MG1655_2ndrun,18,0,0
Phormidesmidales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,6,0,0
Phycisphaerales,Phycisphaerae,Planctomycetota,rrs_MG1655_2ndrun,4,0,0
Pirellulales,Planctomycetia,Planctomycetota,rrs_MG1655_2ndrun,58,0,0
Piscirickettsiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Planctomycetales,Planctomycetia,Planctomycetota,rrs_MG1655_2ndrun,30,0,0
Polyangiales,Polyangia,Myxococcota,rrs_MG1655_2ndrun,11,0,0
Propionibacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,289,0,0
Propionisporales,Negativicutes,Bacillota,rrs_MG1655_2ndrun,1,0,0
Proteinivoracales,Proteinivoracia,Bacillota,rrs_MG1655_2ndrun,3,0,0
Pseudanabaenales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,8,0,0
Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1024,0,0
Pyrinomonadales,Blastocatellia,Acidobacteriota,rrs_MG1655_2ndrun,1,0,0
Reyranellales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,5,0,0
