genus,family,order,class,phylum,gene,n,n_res,f_res
Mariniplasma,Acholeplasmataceae,Acholeplasmatales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Mariniradius,Cyclobacteriaceae,Cytophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,2,0,0
Marinirhabdus,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Marinisporobacter,Thermotaleaceae,Peptostreptococcales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Marinitenerispora,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Marinithermofilum,DSM-45169,Thermoactinomycetales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Marinithermus,Marinithermaceae,Deinococcales,Deinococci,Deinococcota,rrs_MG1655_2ndrun,1,0,0
Marinitoga,Petrotogaceae,Petrotogales,Thermotogae,Thermotogota,rrs_MG1655_2ndrun,5,0,0
Marinobacter,Oleiphilaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,61,0,0
Marinobacterium,Balneatricaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,16,0,0
Marinococcus,Marinococcaceae,Bacillales_H,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
Marinomonas,Marinomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,32,0,0
Marinoscillum,Cyclobacteriaceae,Cytophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,3,0,0
Marinospirillum,Halomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Marinovum,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Mariprofundus,Mariprofundaceae,Mariprofundales,Zetaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,5,0,0
Marisediminicola,Microbacteriaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,2,0,0
Marisediminitalea,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Marispirochaeta,Marispirochaetaceae,JC444,Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,1,0,0
Maritalea,Devosiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Maritimibacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,5,0,0
Marivibrio,GCA-2696645,UBA8366,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Marivirga,Cyclobacteriaceae,Cytophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,8,0,0
Marivita,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Marivivens,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Marixanthomonas,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,2,0,0
Marixanthotalea,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Marmoricola,Nocardioidaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Marnyiella,Weeksellaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
