genus,family,order,class,phylum,gene,n,n_res,f_res
Polycladomyces,Thermoactinomycetaceae,Bacillales,Bacilli,Bacillota,rrs,2,0,0
Polycyclovorans,Nevskiaceae,Nevskiales,Gammaproteobacteria,Pseudomonadota,rrs,1,1,1
Polymorphobacter,Sphingosinicellaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rrs,4,0,0
Polymorphospora,Micromonosporaceae,Micromonosporales,Actinomycetes,Actinomycetota,rrs,2,0,0
Polymorphum,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Polynucleobacter,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,rrs,29,0,0
Polystyrenella,Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetota,rrs,1,0,0
Pontibaca,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
Pontibacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,rrs,2,0,0
Pontibacter,Hymenobacteraceae,Cytophagales,Cytophagia,Bacteroidota,rrs,35,3,0.08571428571428572
Ponticoccus,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Pontiella,Pontiellaceae,Kiritimatiellales,Kiritimatiellia,Kiritimatiellota,rrs,3,2,0.6666666666666666
Pontimicrobium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,rrs,1,0,0
Pontimonas,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,rrs,1,1,1
Pontitalea,NA,NA,NA,NA,rrs,1,0,0
Pontivivens,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,4,0,0
Pontixanthobacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rrs,5,0,0
Porcincola,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,rrs,1,0,0
Porcipelethomonas,Oscillospiraceae,Eubacteriales,Clostridia,Bacillota,rrs,1,0,0
Porifericola,Catalimonadaceae,Cytophagales,Cytophagia,Bacteroidota,rrs,1,0,0
Porphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs,14,3,0.21428571428571427
Portibacter,Haliscomenobacteraceae,Saprospirales,Saprospiria,Bacteroidota,rrs,2,0,0
Porticoccus,Porticoccaceae,Cellvibrionales,Gammaproteobacteria,Pseudomonadota,rrs,1,1,1
Poseidonibacter,Arcobacteraceae,Campylobacterales,Epsilonproteobacteria,Campylobacterota,rrs,4,4,1
Poseidonocella,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
Posidoniimonas,Lacipirellulaceae,Pirellulales,Planctomycetia,Planctomycetota,rrs,2,0,0
Postechiella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,rrs,1,1,1
Pragia,Budviciaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Prauserella,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,rrs,8,1,0.125
Prescottella,Nocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs,5,1,0.2
Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs,21,15,0.7142857142857143
Prevotellamassilia,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs,1,1,1
Pricia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,rrs,1,0,0
Priestia,Bacillaceae,Bacillales,Bacilli,Bacillota,rrs,4,0,0
Primorskyibacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,4,0,0
Prochlorococcus,Prochlorococcaceae,Synechococcales,Cyanophyceae,Cyanobacteriota,rrs,1,0,0
Prodigiosinella,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Profundibacterium,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Profundicola,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,rrs,1,0,0
Proluteimonas,NA,NA,NA,NA,rrs,1,0,0
Promicromonospora,Promicromonosporaceae,Micrococcales,Actinomycetes,Actinomycetota,rrs,7,1,0.14285714285714285
Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs,2,2,1
Propionicicella,Nocardioidaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs,1,1,1
Propioniciclava,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs,3,1,0.3333333333333333
Propionicimonas,Nocardioidaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs,1,0,0
Propionigenium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteriota,rrs,1,0,0
Propionispora,Sporomusaceae,Selenomonadales,Negativicutes,Bacillota,rrs,1,0,0
Propionivibrio,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Pseudomonadota,rrs,3,0,0
Prosthecobacter,Verrucomicrobiaceae,Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,rrs,3,0,0
Prosthecochloris,Chlorobiaceae,Chlorobiales,Chlorobiia,Chlorobiota,rrs,4,1,0.25
Prosthecodimorpha,Ancalomicrobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
