genus,family,order,class,phylum,n,n_res,f_res
Salinarimonas,Salinarimonadaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,3,0,0
Salinibacter,Salinibacteraceae,Rhodothermales,Rhodothermia,Rhodothermota,4,0,0
Salinibacterium,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,6,0,0
Salinibius,Saccharospirillaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,1,0,0
Salinicola,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,14,0,0
Salinihabitans,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Salinimicrobium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,12,0,0
Salinimonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,6,0,0
Salininema,Glycomycetaceae,Glycomycetales,Actinomycetes,Actinomycetota,1,1,1
Saliniradius,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,1,0,0
Saliniramus,Salinarimonadaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Salinisphaera,Salinisphaeraceae,Salinisphaerales,Gammaproteobacteria,Pseudomonadota,6,0,0
Salinispira,Spirochaetaceae,Spirochaetales,Spirochaetia,Spirochaetota,1,0,0
Salinispirillum,Saccharospirillaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,1,0,0
Salinispora,Micromonosporaceae,Micromonosporales,Actinomycetes,Actinomycetota,8,0,0
Salinivibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Pseudomonadota,6,0,0
Salinivirga,Salinivirgaceae,Bacteroidales,Bacteroidia,Bacteroidota,1,0,0
Salipiger,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,10,0,0
Salisaeta,Salisaetaceae,Rhodothermales,Rhodothermia,Rhodothermota,1,0,0
Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,2,0,0
Salsipaludibacter,Salsipaludibacteraceae,Salsipaludibacterales,Nitriliruptoria,Actinomycetota,1,1,1
Saltatorellus,NA,NA,Planctomycetia,Planctomycetota,1,1,1
Samsonia,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Sandaracinobacter,Sphingosinicellaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,1,0,0
Sandaracinobacteroides,Sphingosinicellaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,3,0,0
Sandaracinus,Sandaracinaceae,Polyangiales,NA,Myxococcota,1,0,0
Sandarakinorhabdus,Sphingosinicellaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,4,0,0
Sangeribacter,Muribaculaceae,Bacteroidales,Bacteroidia,Bacteroidota,1,0,0
Sanguibacter,Sanguibacteraceae,Micrococcales,Actinomycetes,Actinomycetota,9,0,0
